id;column_combination;accuracy;f1_score_class_0;f1_score_class_1;anonymization
0;;0.8716417910447761;0.9172074449119304;0.7145315957708384;no
1;age_manipuliert, sex_manipuliert, race_manipuliert;0.8692095080154781;0.9159741458910432;0.7050610820244329;basic
2;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8539524599226092;0.908410178187617;0.6397600218161984;moderate
3;;0.8709784411276948;0.9168980986968596;0.7116382505559674;no
4;age_manipuliert, sex_manipuliert, race_manipuliert;0.8695411829740188;0.9162645472608572;0.7048524262131067;basic
5;;0.8709784411276948;0.9168980986968596;0.7116382505559674;no
6;age_manipuliert, sex_manipuliert, race_manipuliert;0.8695411829740188;0.9162645472608572;0.7048524262131067;basic
7;;0.8710889994472084;0.9169397350049864;0.7122408687068115;no
8;age_manipuliert, sex_manipuliert, race_manipuliert;0.8681039248203427;0.9151915831378402;0.7034551329853344;basic
9;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8550580431177446;0.909128716988979;0.6420966420966421;moderate
