id;column_combination;accuracy;f1_score_class_0;f1_score_class_1;anonymization
0;;0.8679933665008291;0.9149087799315848;0.7057663873829474;no
1;age_manipuliert, sex_manipuliert, race_manipuliert;0.8690989496959646;0.9159568427030096;0.7041479260369814;basic
2;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8615809839690437;0.9113188836945744;0.6847935548841892;moderate
3;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.8380320619126589;0.8962978693282367;0.6303305576583397;strong
4;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.8233278054173576;0.8879540036460525;0.5825496342737723;complete
5;;0.8709784411276948;0.9167914438502672;0.7129151291512915;no
6;age_manipuliert, sex_manipuliert, race_manipuliert;0.8676616915422886;0.9149314192310426;0.7021647175914406;basic
7;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8614704256495301;0.9111914380891628;0.685254961065059;moderate
8;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.837037037037037;0.895727221279004;0.6272129489124938;strong
9;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.822996130458817;0.8880341282607176;0.5776839883935637;complete
10;;0.8709784411276948;0.9167914438502672;0.7129151291512915;no
11;age_manipuliert, sex_manipuliert, race_manipuliert;0.8676616915422886;0.9149314192310426;0.7021647175914406;basic
12;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8614704256495301;0.9111914380891628;0.685254961065059;moderate
13;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.837037037037037;0.895727221279004;0.6272129489124938;strong
14;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.822996130458817;0.8880341282607176;0.5776839883935637;complete
