id;column_combination;accuracy;f1_score_class_0;f1_score_class_1;anonymization
0;;0.8709784411276948;0.9168980986968596;0.7116382505559674;no
1;age_manipuliert, sex_manipuliert, race_manipuliert;0.8666666666666667;0.9138325235781654;0.7054225696140694;basic
2;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8528468767274737;0.908566325479151;0.623266345881687;moderate
3;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.6518518518518519;0.7399884402609198;0.4733232982104031;strong
4;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.6428966279712548;0.73463687150838;0.4542075025346401;complete
5;;0.8709784411276948;0.9168980986968596;0.7116382505559674;no
6;age_manipuliert, sex_manipuliert, race_manipuliert;0.8666666666666667;0.9138325235781654;0.7054225696140694;basic
7;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8528468767274737;0.908566325479151;0.623266345881687;moderate
8;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.6518518518518519;0.7399884402609198;0.4733232982104031;strong
9;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.6428966279712548;0.73463687150838;0.4542075025346401;complete
