id;column_combination;accuracy;f1_score_class_0;f1_score_class_1;anonymization
0;;0.8679933665008291;0.9149087799315848;0.7057663873829474;no
1;age_manipuliert, sex_manipuliert, race_manipuliert;0.866334991708126;0.914346439957492;0.6958490566037737;basic
2;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8576008844665561;0.9088077032002266;0.6752395360564801;moderate
3;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.439469320066335;0.4554242749731471;0.4225512528473804;strong
4;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.5681592039800994;0.7110519307589879;0.1456692913385827;complete
5;;0.8709784411276948;0.9167914438502672;0.7129151291512915;no
6;age_manipuliert, sex_manipuliert, race_manipuliert;0.8645660585959093;0.9129167555271204;0.6955008699975144;basic
7;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8587064676616916;0.9094772630684232;0.6782477341389729;moderate
8;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.4425649530127142;0.5339249399149566;0.3066556655665566;strong
9;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.3915975677169707;0.4318017552916881;0.3452706722189173;complete
10;;0.8709784411276948;0.9167914438502672;0.7129151291512915;no
11;age_manipuliert, sex_manipuliert, race_manipuliert;0.8645660585959093;0.9129167555271204;0.6955008699975144;basic
12;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert;0.8587064676616916;0.9094772630684232;0.6782477341389729;moderate
13;age_manipuliert, sex_manipuliert, race_manipuliert, native-country_manipuliert, education_manipuliert, occupation_manipuliert, marital-status_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert;0.4425649530127142;0.5339249399149566;0.3066556655665566;strong
14;age_manipuliert, fnlwgt_manipuliert, capital-gain_manipuliert, capital-loss_manipuliert, hours-per-week_manipuliert, sex_manipuliert, workclass_manipuliert, education_manipuliert, marital-status_manipuliert, occupation_manipuliert, relationship_manipuliert, race_manipuliert, native-country_manipuliert;0.3915975677169707;0.4318017552916881;0.34527067221891733;complete
